AOI_setting,ml,features,acc
Title_para,logistic,"('Text ID', 'Answer')",0.48500000000000004
Title_para,logistic,"('Text ID', 'Answer', 'Difficulty_1')",0.5066666666666667
Title_para,logistic,"('Text ID', 'Difficulty_1')",0.4855555555555555
Title_para,logistic,"('Text ID', 'Paragraph_Number')",0.4833333333333332
Title_para,logistic,"('Text ID', 'Paragraph_Number', 'Answer')",0.4894444444444445
Title_para,logistic,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.49722222222222223
Title_para,logistic,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.49
Title_para,logistic,"('Text ID',)",0.4855555555555556
Title_para,logistic,(),0.4838888888888888
Title_para,randomForest,"(' AOI Name', 'Answer')",0.6305555555555556
Title_para,randomForest,"(' AOI Name', 'Answer', 'Difficulty_1')",0.6266666666666666
Title_para,randomForest,"(' AOI Name', 'Difficulty_1')",0.6344444444444446
Title_para,randomForest,"(' AOI Name', 'Paragraph_Number')",0.6511111111111111
Title_para,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.6622222222222223
Title_para,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.6238888888888888
Title_para,randomForest,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.6433333333333333
Title_para,randomForest,"(' AOI Name', 'Text ID')",0.6555555555555556
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Answer')",0.6227777777777778
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.6255555555555556
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.6527777777777778
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.6483333333333333
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.6322222222222221
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.6355555555555555
Title_para,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.6516666666666665
Title_para,randomForest,"(' AOI Name',)",0.6605555555555557
Title_para,randomForest,"('Answer', 'Difficulty_1')",0.6222222222222221
Title_para,randomForest,"('Answer',)",0.61
